specObjID,plateid,mjd,fiberid,ra,dec,primtarget,sectarget,targettype,spectrotype,subclass,z,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable,EW_Ha_6562,EW_Ha_6562_Err,sfr_fib_p50,bptclass,logMass,SFR,Metallicity
520230660175063040,462,51909,236,54.80814,-6.645804,192,0,GALAXY,GALAXY,STARFORMING,0.01391427,1.178601E-05,0,98.64557,39.12051,2.993423,0.05282842,dr123,1,32.70971,8.102832,-2.589939,1,8.24,0,0.01
525912936133191680,467,51901,428,130.987,1.584267,64,0,GALAXY,GALAXY,STARFORMING,0.01344077,5.881959E-06,0,39.95021,23.10484,15.1806,0.04452534,dr123,1,27.43425,3.509809,-2.361112,1,7.91,0,0.004
528137798113323008,469,51913,330,134.0095,1.883466,64,0,GALAXY,GALAXY,STARBURST,0.01792556,6.235428E-06,0,92.82919,16.34356,10.99236,0.03689987,dr123,1,47.32613,-9999,-1.910081,1,8.31,0,0.004
529203500026980352,470,51929,111,136.731,-0.03130548,64,0,GALAXY,GALAXY,STARBURST,0.01864563,8.179618E-06,0,54.40739,11.20739,26.6211,0.0380063,dr123,1,49.60857,-9999,-0.7287307,1,9.43,1.2,0.01
2051459777350887424,1822,53172,255,237.9631,5.973673,64,0,GALAXY,GALAXY,STARFORMING,0.01366648,5.758545E-06,0,18.64915,28.38982,14.8774,0.0436041,dr4,1,23.41193,0.9575465,-2.227274,1,8.14,0.1,0.004
2064928543233566720,1834,54562,102,230.4836,5.086755,256,0,GALAXY,GALAXY,STARBURST,0.004701113,6.278642E-06,0,21.01084,31.20504,13.79237,0.03999726,dr7.2,1,118.6991,-9999,-2.431747,1,4.93,0,0.004
1689017598366214144,1500,53730,610,20.55472,0.950337,192,0,GALAXY,GALAXY,STARBURST,0.007479434,4.273989E-06,0,0,43.51426,4.652727,0.032452,special,1,401.8807,-9999,-2.238909,1,4.94,0,0.01
1691225967655151616,1502,53741,452,23.28078,0.175776,64,0,GALAXY,GALAXY,STARFORMING,0.0165772,1.420981E-05,0,0,108.8662,6.066831,0.02639352,special,1,14.84201,45.9972,-2.309371,1,8.38,0,0.04
1693366703355881472,1504,52940,48,28.3583,-1.189421,64,0,GALAXY,GALAXY,STARFORMING,0.01904899,6.75083E-06,0,496.5753,132.4169,3.055485,0.02670335,special,1,41.69827,-9999,-9999,2,7.61,0,0.01
1702444822704449536,1512,53035,306,42.98,-1.163927,64,0,GALAXY,GALAXY,STARBURST,0.005125384,6.549377E-06,0,250.0224,67.7334,2.597352,0.07255328,special,1,141.9747,-9999,-3.437648,1,5.01,0,0.01
1702498435757795328,1512,53742,501,44.11804,0.607731,64,0,GALAXY,GALAXY,STARBURST,0.009178776,6.101385E-06,0,43.18472,46.62722,4.924743,0.08225249,special,1,92.95578,-9999,-2.730623,1,7.19,0,0.01
1736262513567229952,1542,53734,454,5.19563,0.708351,64,0,GALAXY,GALAXY,,0.01810127,1.410575E-05,0,0,50.37029,7.575784,0.02308895,special,1,7.680567,0.8999465,-9999,1,7.49,0,0.01
1398477959009953792,1242,52901,401,57.28304,1.162058,66,0,QSO,GALAXY,STARBURST,0.013555,4.329583E-06,0,41.86414,26.67593,13.1963,0.2099797,dr4,1,130.3702,2.433845,-1.117483,1,8.1,0.9,0.004
439182634283722752,390,51900,297,4.358676,-0.9776778,64,0,GALAXY,GALAXY,STARFORMING,0.01807515,1.122205E-05,0,78.03758,10.16934,21.16327,0.03778815,dr123,1,17.93773,0.3749822,-1.411779,1,7.21,0,0.04
441520469087119360,392,51793,610,9.828302,0.8919383,64,0,GALAXY,GALAXY,STARFORMING,0.01370222,1.415921E-05,0,25.29768,10.89867,26.47272,0.01998244,dr123,1,11.02401,0.4308485,-1.95084,1,8.98,0,0.004
594517515934132224,528,52022,154,204.3416,2.330803,64,0,GALAXY,GALAXY,STARBURST,0.01127273,4.407592E-06,0,67.18454,10.74285,24.31865,0.02251745,dr123,1,59.8335,1.545652,-2.009404,1,7.89,0,0.004
1120275675807246336,995,52731,19,151.2453,5.364657,64,0,GALAXY,GALAXY,STARFORMING,0.01363236,5.737871E-06,0,0,28.89575,9.077539,0.01727893,dr123,1,47.2962,18.50462,-2.289134,1,7.73,0,0.01
371643766043338752,330,52370,352,177.0443,-1.989187,64,0,GALAXY,GALAXY,STARBURST,0.005139465,8.585809E-06,0,216.6151,69.79649,3.951011,0.01850313,dr123,1,33.27131,-9999,-3.105647,1,6.99,0,0.01
376130591793375232,334,51993,291,185.9749,-3.442942,64,0,GALAXY,GALAXY,,0.006685563,9.193219E-06,0,88.69633,4.165551,37.92333,0.0357866,dr123,1,4.668725,0.1940173,-2.791937,3,9.84,0,0.04
382808750492248064,340,51990,10,199.1966,-3.049419,64,0,GALAXY,GALAXY,STARBURST,0.01875545,5.616856E-06,0,50.74217,24.78164,12.74297,0.03504979,dr123,1,103.723,5.013008,-1.080393,1,8.72,0.2,0.01
382824688394463232,340,51691,68,199.1419,-2.289566,64,0,GALAXY,GALAXY,STARFORMING,0.01339889,7.573496E-06,0,65.17313,16.99917,13.86026,0.0274514,extra,1,14.99049,0.6650659,-2.176206,1,8.16,0.1,0.004
388439894260738048,345,51690,16,243.3707,-0.8835136,64,0,GALAXY,GALAXY,STARBURST,0.006999131,3.796962E-06,0,72.0386,28.37085,12.11965,0.1292073,dr123,1,109.1477,4.580732,-2.209891,1,8.39,0,0.01
580993522828601344,516,52017,106,180.6779,1.952224,96,0,GALAXY,GALAXY,BROADLINE,0.01726192,9.109145E-06,0,117.1415,3.415458,41.2544,0.02220409,dr123,1,0.04820232,0.2584183,-2.598876,-1,10.15,0,0.04
581013314037901312,516,52017,178,180.343,2.185653,64,0,GALAXY,GALAXY,STARBURST,0.003251394,4.096908E-06,0,0,20.8905,5.844265,0.02433874,dr123,1,1203.742,-9999,-2.299156,1,5.98,0,0.004
582127119434278912,517,52024,134,181.8832,1.63736,64,0,GALAXY,GALAXY,STARBURST,0.01971031,5.623345E-06,0,0,30.55528,8.390257,0.02674764,dr123,1,419.1615,-9999,-0.9101817,1,8.24,0.4,0.01
